Row-names,Symbol,Moon-Earth___log2FoldChange,Moon-Earth___padj,data
AT5G62360,,-6.192439659,8.56E-09,
AT1G68050,ADO3,-6.398109845,8.36E-08,
AT2G40080,ELF4,-5.092199332,8.36E-08,
AT1G14250,APY5,2.619915855,9.40E-08,
AT3G07650,COL9,-4.319838811,6.36E-07,
AT1G07050,,-6.808129538,7.94E-07,
AT4G32340,,-6.066176751,8.01E-07,
AT2G21660,RBG7,-3.786877544,9.71E-07,
AT3G46640,PCL1,-3.675987209,9.78E-07,
AT2G33830,DRMH1,-5.790620307,1.06E-06,
AT5G42900,COR27,-5.187603739,1.64E-06,
AT1G17665,,-4.888588372,1.71E-06,
AT5G48250,COL10,-3.61872272,1.71E-06,
AT5G60100,PRR3,-4.278930409,1.78E-06,
AT2G15890,MEE14,-4.019508789,3.00E-06,
AT3G20810,JMJ30,-3.679227494,7.22E-06,
AT4G33980,,-6.269735715,8.24E-06,
AT4G29610,CDA6,-4.457665109,8.24E-06,
AT4G04330,RBCX1,-3.66266083,8.24E-06,
AT5G09300,,-0.866198935,8.24E-06,
AT1G15040,GAT1_2.1,4.095201658,1.75E-05,
AT3G55646,,-3.956179142,2.77E-05,
AT5G57110,ACA8,-2.523680179,2.77E-05,
AT4G17480,,1.316242167,3.22E-05,
AT3G62950,GRXC11,-4.226139004,3.48E-05,
AT1G69140,NA,-7.267987341,3.55E-05,
AT5G63810,BGAL10,-2.535622993,5.09E-05,
AT5G61380,APRR1,-2.708553331,5.46E-05,
AT5G24470,APRR5,-4.264230107,6.18E-05,
AT3G58650,,-1.377037901,6.90E-05,
AT3G05800,BHLH150,-3.235276278,8.85E-05,
AT1G06080,ADS1,-2.261606673,0.000102434,
AT1G52040,MBP1,2.240102486,0.00010261,
AT1G73260,KTI1,4.690198853,0.000113428,
AT3G51400,,-4.100284662,0.000126586,
AT3G20800,,-0.511357187,0.000145586,
AT4G26670,TIM22-2,-2.331286394,0.000181587,
AT3G50120,,-5.504724861,0.000191267,
AT1G11740,,-4.129630083,0.000191267,
AT1G56300,,-3.0645127,0.000191267,
AT1G79440,ALDH5F1,-1.846519557,0.000191267,
AT5G06690,WCRKC1,-3.112473833,0.000195865,
AT5G61950,,-0.827212603,0.000197941,
AT1G28330,DRM1,-2.559812352,0.000217311,
AT3G20440,SBE3,-2.179390365,0.000217311,
AT2G20590,RTNLB17,-1.688090618,0.000217311,
AT1G80480,PTAC17,-1.774322121,0.000298297,
AT5G63420,emb2746,-1.725611355,0.000298297,
AT1G22770,GI,-1.599049688,0.000298297,
AT1G19670,CLH1,1.117176607,0.000298297,
AT3G21460,GRXS10,-4.93417397,0.000338732,
AT4G19120,ERD3,-1.515032064,0.0003618,
AT3G61990,OMTF3,1.640734695,0.0003618,
AT3G03630,CS26,-2.0729817,0.000392444,
AT4G02750,PCMP-H24,-1.080156366,0.000392444,
AT2G15880,PEX3,-3.140300977,0.000406964,
AT3G06125,,0.917428474,0.000406964,
AT5G24160,SQE6,1.548859542,0.000406964,
AT5G61890,ERF114,2.544919197,0.000441874,
AT4G17470,,2.976161707,0.000441874,
AT5G50450,,-2.651264378,0.000454656,
AT2G21130,CYP19-2,-2.287338321,0.000459729,
AT3G57430,PCMP-H81,-1.270660206,0.00049592,
AT2G22450,RIBA2,-2.043960914,0.000500028,
AT1G53035,,-2.830470674,0.000536187,
AT3G59350,,-2.337246506,0.000536187,
AT1G51460,ABCG13,-1.161677665,0.000632028,
AT5G05890,UGT76C5,-3.145101556,0.000697548,
AT2G39920,,-2.122436235,0.000697548,
AT3G05130,,-1.880202267,0.000697548,
AT1G28050,COL15,-1.493340787,0.000697548,
AT1G33440,NPF4.4,-1.071951958,0.000697548,
AT3G14900,,-2.168104913,0.000771039,
AT5G57630,CIPK21,-2.067234548,0.000771039,
AT5G08610,RH26,-1.55094635,0.000771039,
AT5G49160,DMT1,-0.990113852,0.000771039,
AT3G01310,,-0.891878204,0.000771039,
AT2G29690,ASA2,-0.422609201,0.000771039,
AT2G47630,,0.489826895,0.000771039,
AT2G32530,CSLB3,1.461825291,0.000771039,
AT4G22950,AGL19,1.551993153,0.000771039,
AT3G14060,,1.351435582,0.000783616,
AT3G55220,SAP130A,-0.352515148,0.000820932,
AT5G24490,,-2.056816676,0.00083867,
AT4G17140,,-1.451149917,0.000906784,
AT1G16630,,-1.726764794,0.000936105,
AT5G35777,NA,-6.0564436,0.000939126,
AT1G04620,HCAR,-1.643231528,0.000939126,
AT1G57820,ORTH2,-1.626596488,0.000939126,
AT3G55290,,1.424053758,0.000939126,
AT4G28040,,2.896336743,0.000939126,
AT1G48000,MYB112,3.163211396,0.000939126,
AT5G24780,VSP1,3.70328727,0.000939126,
AT2G39030,NATA1,4.443329374,0.000939126,
AT3G53460,CP29,-2.052289582,0.000977843,
AT5G55680,,-1.873207572,0.00100976,
AT4G24175,,-1.292979339,0.00100976,
AT5G59570,BOA,-3.179175678,0.001017165,
AT3G10310,,-1.756305346,0.001019423,
AT5G20740,,-2.175519403,0.001040231,
AT1G12710,AtPP2-A12,-1.40085943,0.00108506,
AT5G61440,ACHT5,-2.755055037,0.00109496,
AT4G02360,,2.880903472,0.00109496,
AT5G51600,MAP65-3,-1.776758903,0.001106844,
AT1G34355,PS1,-1.728083147,0.001117425,
AT4G37180,HHO5,1.089809372,0.001126115,
AT5G22794,,-1.150560575,0.001160705,
AT3G14120,NUP107,-0.524753806,0.001173718,
AT1G13245,RTFL17,0.843944984,0.001173718,
AT1G24260,3-Sep,-3.3559504,0.001218637,
AT3G55660,ROPGEF6,-1.978325008,0.001218637,
AT5G24570,,-1.237553821,0.001219537,
AT5G54190,PORA,-2.627051008,0.001230412,
AT2G40085,,-2.192410419,0.001230412,
AT5G62720,,-2.006306889,0.001230412,
AT1G18370,KIN7A,-1.780685184,0.001230412,
AT1G06460,ACD32.1,-1.380669645,0.001230412,
AT3G50700,GAF1,-1.325571955,0.001230412,
AT3G16730,CAPH2,-0.626005794,0.001230412,
AT2G41312,,1.174757956,0.001230412,
AT3G56330,,-1.736271339,0.001235675,
AT1G63660,,-0.951593617,0.001235675,
AT5G04895,,-0.636431396,0.001235675,
AT5G39410,,-1.348254254,0.001253294,
AT2G04100,DTX6,1.594623912,0.001300034,
AT5G27550,KIN14S,-1.491262572,0.001316755,
AT1G59540,KIN7N,-1.411960679,0.001316755,
AT1G30360,ERD4,-1.389163908,0.001316755,
AT3G05320,OFUT23,-0.812719246,0.001316755,
AT1G20030,,-2.212413743,0.001333238,
AT1G59990,RH22,-1.134539335,0.001333238,
AT3G15000,MORF8,-0.643304032,0.001333238,
AT2G28305,LOG1,0.722425383,0.001333238,
AT5G63780,SHA1,-1.798651038,0.001347107,
AT1G69200,FLN2,-1.452410816,0.00135313,
AT4G27340,,-0.552441782,0.00135313,
AT5G03230,,1.095317347,0.00135313,
AT2G32540,CSLB4 AT2G32540,0.9900125,0.001363058,
AT4G14230,CBSDUF2,-0.639531747,0.001367135,
AT4G26660,,-2.038825415,0.001439679,
AT4G27710,CYP709B3,0.536325111,0.001439679,
AT3G16670,,-3.73086991,0.001448185,
AT3G10690,GYRA,-1.053192595,0.001448185,
AT2G38750,ANN4,1.404967305,0.001448185,
AT4G33400,,-1.309723772,0.001465561,
AT5G15510,,-1.689541451,0.00154141,
AT1G61450,,-1.624503938,0.001560215,
AT4G05190,KIN14D,-1.608298784,0.001560215,
AT5G52800,,-1.266430455,0.001599802,
AT1G50240,TIO,-1.504377778,0.001608904,
AT3G54090,FLN1,-1.485863528,0.001656872,
AT4G20890,TUBB9,-1.049882737,0.001656872,
AT2G23050,NPY4,-2.304266811,0.001680015,
AT1G02730,CSLD5,-1.763243428,0.001680015,
AT1G02690,IMPA-6,-1.160260326,0.001680015,
AT3G53800,Fes1B,-2.406931021,0.001729252,
AT1G73620,,-2.001830485,0.001734019,
AT3G10020,,-1.9935378,0.001734019,
AT1G23790,,-1.94768785,0.001734019,
AT5G48310,,-1.940371899,0.001734019,
AT5G55520,,-1.896140977,0.001734019,
AT3G48500,PDE312,-1.405167046,0.001734019,
AT2G37420,KIN5B,-1.183186866,0.001734019,
AT1G10930,RECQL4A,-1.129527103,0.001734019,
