ID,GLDS-476_rna-seq_SRS11074027,GLDS-476_rna-seq_SRS11074028,GLDS-476_rna-seq_SRS11074029,GLDS-476_rna-seq_SRS11074030,GLDS-476_rna-seq_SRS11074031,GLDS-476_rna-seq_SRS11074032,GLDS-476_rna-seq_SRS11074033,GLDS-476_rna-seq_SRS11074034,GLDS-476_rna-seq_SRS11074035,GLDS-476_rna-seq_SRS11074036,GLDS-476_rna-seq_SRS11074037,GLDS-476_rna-seq_SRS11074038,GLDS-476_rna-seq_SRS11074039,GLDS-476_rna-seq_SRS11074040,GLDS-476_rna-seq_SRS11074041,GLDS-476_rna-seq_SRS11074042,GLDS-476_rna-seq_SRS11074043,GLDS-476_rna-seq_SRS11074044,GLDS-476_rna-seq_SRS11074045,GLDS-476_rna-seq_SRS11074046
AT1G01010,130,230,117,119,66,540,113,167,566,130,277,813,152,114,177,164,195,1624,503,131
AT1G01020,666,638,779,654,465,897,562,639,779,655,844,761,623,746,566,666,531,664,730,742
AT1G01030,128,117,123,169,95,235,139,143,218,188,158,240,121,190,150,145,156,147,164,136
AT1G01040,2229,3137,2709,2719,1844,2992,2357,3648,2775,2630,3923,2682,3154,2619,2292,3349,2471,1635,3196,2248
AT1G01046,9,24,6,28,7,27,14,46,12,14,41,20,33,16,34,53,8,13,24,17
AT1G01050,1952,1515,1262,1234,1456,1836,1722,1864,1898,1728,2190,1961,1631,1460,2039,1865,1721,1358,1776,2306
AT1G01060,53,3336,3430,2701,44,7060,77,5728,7968,4783,4370,10380,5073,5556,7312,6345,5557,4915,6963,43
AT1G01070,180,447,366,419,29,687,142,582,770,600,641,749,455,804,878,645,893,34,686,127
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,5128,2659,2684,2239,4587,1701,5199,2663,2153,2920,3226,1255,3020,2480,2440,2884,851,766,2466,6508
AT1G01090,10158,6263,5379,5605,9121,3951,9617,7044,5153,7224,6922,5020,6948,6365,5040,6401,5521,3042,5322,10817
AT1G01100,8706,4622,3846,3425,7473,5760,8244,4664,5754,4291,5836,4741,6135,4647,3919,5150,4146,4790,4937,10139
AT1G01110,203,287,228,187,138,121,154,251,111,185,242,104,277,209,173,288,126,18,274,190
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,3692,1127,1387,1930,3546,1074,4251,1799,2575,3112,1271,1331,1749,1863,1656,2133,1418,1974,2195,4430
AT1G01130,90,59,86,42,44,74,47,87,85,67,85,117,53,114,77,99,56,48,71,96
AT1G01140,2354,4618,2100,3611,1835,6772,1849,5467,8934,3885,6394,6954,4539,2897,3799,4359,2707,7251,4394,2003
AT1G01150,4,3,2,1,30,0,5,7,3,10,1,8,10,0,0,6,2,0,5,7
AT1G01160,998,1258,1218,855,734,1417,845,1350,1705,1145,1536,1818,1135,979,1216,1187,1066,1100,1131,1068
AT1G01170,1701,1539,1429,1451,1436,1685,1594,1479,1822,1760,2128,1194,1565,1715,2172,1545,1301,800,1686,1897
AT1G01180,418,326,342,529,440,455,466,417,417,584,624,313,374,335,385,425,158,286,403,359
AT1G01183,0,1,0,0,4,0,3,6,0,0,2,0,0,0,0,4,0,0,13,0
AT1G01190,73,24,28,14,46,12,74,39,2,21,9,14,18,15,24,35,10,0,34,132
AT1G01200,74,120,126,65,38,246,67,134,179,98,133,394,118,132,88,142,74,23,156,53
AT1G01210,387,444,518,365,277,546,336,445,630,453,544,547,462,426,384,461,485,421,460,648
AT1G01220,2175,1119,1151,1164,1728,946,2426,1399,957,1412,1655,988,1392,1313,1012,1240,1255,1100,1337,2578
AT1G01225,114,133,119,102,148,106,127,144,90,142,121,78,120,80,102,128,94,20,141,202
AT1G01230,1101,1216,830,949,999,994,900,1147,964,1100,1347,1071,930,917,1064,1041,954,683,735,957
AT1G01240,1146,1222,856,1202,1312,1214,1385,1271,984,1369,1413,541,1056,1238,1087,1393,2127,1469,1462,878
AT1G01250,114,1087,1059,560,84,2873,70,993,1425,469,873,3804,591,539,684,830,3080,118,587,91
AT1G01260,863,1288,1172,1169,896,1204,909,1124,1167,1244,1559,1218,1198,1168,962,1176,1122,1251,1215,914
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
AT1G01290,473,724,719,631,372,989,366,829,944,648,873,1091,700,812,718,778,1095,584,812,549
AT1G01300,3980,3582,2813,3136,3409,1904,3742,3651,2380,3371,4147,1995,3438,2910,2810,3376,1553,639,2716,4421
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,1,6,4,7,5,7,0,1,25,0,0,19,5,0,1,0,0,28,0,0
AT1G01320,33730,17787,17819,19569,27374,15545,30219,22136,22275,19850,21281,12351,23055,19277,17596,22106,15061,15108,20902,41687
AT1G01340,313,813,73,257,159,128,153,474,183,214,989,149,688,114,180,480,277,476,377,122
AT1G01350,794,854,800,615,639,1113,741,993,1173,923,1201,1070,1016,759,689,873,783,1186,930,848
AT1G01355,7,16,17,4,0,41,6,57,43,10,25,37,17,19,43,30,4,16,39,3
AT1G01360,488,1517,1116,1125,363,2149,358,2166,1851,1217,1828,2295,1596,1148,1799,2001,1317,590,1442,429
AT1G01370,264,132,78,96,127,78,186,147,72,70,130,41,159,141,83,99,51,24,71,238
AT1G01380,44,90,77,63,20,102,26,77,122,43,70,168,57,62,74,56,67,50,116,28
AT1G01390,214,167,82,182,220,7,252,159,19,293,145,1,129,73,34,125,60,0,117,299
AT1G01400,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,244,973,649,862,141,1142,236,1156,1165,659,1427,1133,992,791,878,999,823,244,868,278
AT1G01430,2398,1551,1726,2020,2257,1807,3218,2245,2681,3140,2252,1351,1855,2319,2616,2131,1137,1731,2142,2894
AT1G01440,1070,991,682,1058,888,976,1025,1076,1148,925,1241,943,1081,1025,897,1311,877,928,970,1036
AT1G01448,274,269,224,257,169,339,223,319,344,257,296,306,235,253,413,307,261,101,479,267
AT1G01450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01453,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
AT1G01460,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
AT1G01470,5897,4695,2560,2871,3527,5354,3679,4914,5021,4031,6184,6438,3902,3147,4806,4469,20128,4223,5180,5399
AT1G01471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01480,4,17,0,12,0,6,2,10,0,38,14,0,2,0,0,25,717,306,9,0
AT1G01490,1474,3177,2660,3737,1179,4721,1580,3996,4006,3835,4769,3566,3700,3478,2194,3927,2617,4368,4293,1336
AT1G01500,1196,1262,1132,1084,1079,970,1105,1251,1138,1150,1607,1490,1009,1188,686,1052,1502,826,796,1319
AT1G01510,2207,2160,2105,1783,1760,1847,1976,2206,2119,2294,2410,2144,2376,2392,1712,2207,1954,1606,2020,2097
AT1G01520,19,217,300,190,0,334,3,224,248,317,392,446,213,267,437,206,729,282,149,12
AT1G01530,8,7,0,0,0,1,0,0,0,3,29,0,12,5,0,5,1,3,0,2
AT1G01540,4367,3438,3918,3608,4163,4371,4386,4291,5554,4870,4035,4837,4233,4802,2633,4610,3896,3392,4502,5469
AT1G01550,3348,7633,4700,5991,3637,6004,3837,7961,6168,5975,9383,6165,7142,5284,7072,7234,5871,6413,6132,3207
AT1G01560,196,247,37,57,52,134,48,132,160,78,485,153,234,47,108,326,623,759,167,48
AT1G01570,98,70,111,32,108,79,52,94,88,99,124,138,96,109,99,80,185,57,115,77
AT1G01580,98,266,130,140,21,188,45,366,204,264,247,421,266,231,347,270,650,39,171,78
AT1G01590,1,103,39,46,6,171,4,169,226,43,42,263,88,35,70,102,43,5,76,3
AT1G01600,693,494,406,385,686,487,528,514,234,441,641,141,496,518,311,464,364,27,362,576
AT1G01610,3087,3055,2120,2806,3279,1869,3397,3655,2488,3388,3881,2000,3462,2665,2628,3415,1924,759,3042,3172
AT1G01620,17877,7311,7587,9602,20280,4396,22978,10282,6654,13302,8815,3212,10770,10164,7972,11513,3831,3112,9996,20675
AT1G01630,2723,3219,2991,3336,2164,3199,2664,3915,3967,4187,4914,2962,3277,4049,3409,3506,1992,2025,3171,2933
AT1G01640,36,48,14,10,28,159,50,46,89,12,86,181,45,46,70,61,72,44,177,28
AT1G01650,1383,1968,1400,1548,981,2288,1218,1945,2042,1799,2351,2735,1649,1964,1962,1882,3753,3593,1566,1336
AT1G01660,57,119,84,64,39,69,41,59,84,51,119,116,58,80,34,75,81,71,71,47
AT1G01670,107,136,133,115,47,221,53,129,145,99,190,207,99,155,146,113,102,69,92,59
AT1G01680,74,244,26,33,9,499,14,69,1099,170,1592,619,354,46,51,520,56,821,273,13
AT1G01690,371,191,179,135,294,180,336,213,194,112,290,222,173,195,196,150,201,147,155,401
AT1G01695,22,17,27,19,23,19,25,21,4,12,11,25,23,22,17,29,21,9,12,29
AT1G01700,99,165,103,134,94,198,126,148,187,92,153,206,121,164,180,160,217,20,116,116
AT1G01710,1634,1606,1583,1763,1154,2282,1520,2062,2439,2053,2372,2517,1745,2107,2083,2180,2539,2040,1954,1434
AT1G01720,1198,3142,3690,3551,1073,4659,1034,2998,3335,2900,4385,4239,1871,3876,2894,2171,5734,8289,2735,925
AT1G01725,254,488,620,572,179,949,208,662,718,519,820,622,500,440,857,582,583,582,548,226
AT1G01730,848,1193,784,759,582,1611,687,1012,1095,864,1420,1797,952,905,1371,1035,1060,1167,1085,716
AT1G01740,219,463,283,343,185,294,330,581,422,307,616,314,439,387,416,429,328,87,402,250
AT1G01750,39,116,51,37,60,29,37,47,61,32,34,60,38,49,21,31,16,21,49,71
AT1G01760,148,76,76,89,139,83,112,115,101,135,106,92,137,107,109,91,45,83,61,149
AT1G01770,1304,918,729,846,1160,1062,1333,881,1210,860,1072,1013,705,925,776,832,1095,1625,945,1446
AT1G01780,352,236,405,323,438,378,323,301,405,342,397,287,287,321,351,251,409,407,444,482
AT1G01790,10552,7428,6329,8803,9734,3358,11165,8542,4687,10134,7285,3759,7300,7720,6172,8325,5022,2078,5817,11049
AT1G01800,2625,3926,2640,2979,2151,4493,2387,4216,4606,3596,5315,5095,3642,3390,3865,4042,4088,4754,4018,2636
AT1G01810,13,12,9,8,7,17,13,21,16,23,11,24,12,12,14,10,28,36,11,21
AT1G01820,2806,2519,1912,2096,2480,2845,2909,2424,3352,2061,3340,3136,2242,2236,2747,2277,2063,2438,2114,2718
AT1G01830,911,1654,825,1224,815,1439,847,1784,1602,1331,2210,1034,1666,1173,645,1761,1512,488,1336,816
AT1G01840,92,53,52,76,89,69,70,42,78,64,80,77,53,97,37,114,66,23,76,107
AT1G01860,745,412,482,446,649,381,776,449,558,446,498,465,413,369,430,479,353,257,541,807
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,142,107,107,91,200,72,114,109,121,113,129,152,118,77,110,127,83,53,82,144
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,827,456,382,589,664,143,886,632,209,672,508,215,655,644,220,597,1160,65,435,1089
AT1G01910,3070,2031,1599,1783,2687,1916,2817,2143,2375,2594,2518,1928,2325,1934,1813,2303,1655,2491,1791,3372
AT1G01920,612,530,607,449,614,632,573,519,660,532,777,619,621,519,499,568,526,310,541,701
AT1G01930,686,611,654,652,682,775,820,796,923,540,834,653,721,688,499,748,576,825,757,828
AT1G01940,422,446,353,312,432,311,463,441,419,313,619,366,469,321,355,379,341,90,365,512
AT1G01950,964,1044,911,899,877,885,815,1224,1023,984,1317,1015,1046,1086,718,1158,715,834,904,1003
AT1G01960,5857,5558,4032,4359,5400,3886,6337,5986,4330,4884,6180,3966,5711,5443,4664,5366,4581,3407,4725,5893
AT1G01970,2802,1392,1219,1326,2264,988,2536,1581,1074,1499,1621,912,1527,1431,1339,1540,1038,802,1498,2999
AT1G01980,1,0,0,20,0,0,0,0,18,0,0,11,3,0,0,0,0,38,0,1
AT1G01990,866,1039,892,841,724,1493,889,1095,1639,1072,1416,1484,1042,984,1177,1106,1093,896,1225,987
AT1G02000,385,505,467,517,348,575,433,582,753,723,642,842,572,618,445,592,705,889,568,593
AT1G02010,709,521,604,654,515,743,638,725,826,650,741,865,593,645,691,743,751,656,668,596
AT1G02020,724,643,520,466,688,451,736,804,581,657,789,605,642,549,590,687,583,401,590,773
AT1G02030,6,21,25,16,5,9,2,5,4,16,23,11,5,13,3,5,17,15,13,3
AT1G02040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02050,294,289,310,245,229,303,204,317,405,209,331,376,269,244,152,262,256,328,423,345
AT1G02060,313,248,257,173,282,345,319,308,545,246,278,425,305,272,330,306,222,394,260,322
AT1G02065,140,139,55,89,100,131,75,175,274,75,77,237,77,70,55,109,49,30,55,102
AT1G02070,5,24,23,0,4,7,7,34,16,4,32,54,7,8,19,20,9,3,19,7
AT1G02074,0,5,0,0,0,0,9,1,8,0,1,0,0,0,5,0,0,0,0,0
AT1G02080,6199,6205,4353,5141,5418,4477,6438,6917,5504,4822,6509,5306,5978,5482,5965,6669,6062,4569,5697,5789
AT1G02090,1690,1305,1168,1008,1247,1623,1361,1259,1409,1183,1671,1260,1252,1276,971,1112,1213,1066,1247,1744
AT1G02100,1151,1405,1495,1203,1097,2394,1222,1537,2123,1340,1794,2446,1376,1449,1636,1512,1511,1661,1595,1160
AT1G02110,1506,1504,1460,1331,1359,996,1479,1525,1243,1306,1818,1406,1565,1715,744,1370,1005,288,1338,1534
AT1G02120,4170,5719,4336,4917,3264,5819,3788,5997,5789,4941,7733,6539,5105,5015,2556,5610,4807,4086,5236,3554
AT1G02130,1816,1816,1314,1473,1643,1732,1668,1950,1779,1706,2227,1722,1713,1687,1747,1856,1643,1409,1681,1976
AT1G02136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02140,3781,3546,3286,2803,3071,4109,3406,3677,4233,3635,4902,3930,3993,3445,3394,4116,3773,3501,3704,4308
AT1G02145,806,900,880,774,760,1166,778,975,923,1018,1188,1124,880,861,1005,956,891,522,875,920
AT1G02150,8864,4579,4115,4162,8552,2793,8934,4759,4918,4810,5599,2632,5548,4470,2778,4882,2630,1663,4231,10496
AT1G02160,743,775,787,734,624,1156,704,829,1055,812,1007,972,765,888,880,664,745,574,851,837
AT1G02170,1558,1909,952,1385,1046,1392,1284,1818,1378,1536,2484,1632,1657,1344,1258,1698,1438,1327,1602,1278
AT1G02180,310,161,216,185,239,151,268,181,191,234,250,174,232,204,211,171,73,36,213,296
AT1G02190,42,35,8,27,13,5,21,87,7,14,17,3,35,15,17,48,16,1,0,15
AT1G02205,4534,2622,3138,1520,3090,731,3554,2668,1654,1667,1664,1242,2152,3259,1457,2242,5748,946,1110,4432
AT1G02210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
